date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_cargo,portcalls,import_container,export_container
2022-08-02,2022,8,2,port1201,Singapore,Singapore,SGP,39,53,110,696839,408004
2022-08-03,2022,8,3,port1201,Singapore,Singapore,SGP,36,43,106,827643,624144
2022-08-04,2022,8,4,port1201,Singapore,Singapore,SGP,38,54,126,345581,923278
2022-08-05,2022,8,5,port1201,Singapore,Singapore,SGP,35,51,131,611744,775400
2022-08-06,2022,8,6,port1201,Singapore,Singapore,SGP,40,50,119,615675,728500
2022-08-07,2022,8,7,port1201,Singapore,Singapore,SGP,41,58,133,638083,778950
2022-08-08,2022,8,8,port1201,Singapore,Singapore,SGP,31,44,106,743873,498606
2022-08-09,2022,8,9,port1201,Singapore,Singapore,SGP,45,55,123,874557,886191
2022-08-10,2022,8,10,port1201,Singapore,Singapore,SGP,42,62,133,347449,571789
2022-08-11,2022,8,11,port1201,Singapore,Singapore,SGP,29,42,99,610578,293482
2022-08-12,2022,8,12,port1201,Singapore,Singapore,SGP,47,60,134,867914,827439
2022-08-13,2022,8,13,port1201,Singapore,Singapore,SGP,36,46,110,101528,974454
2022-08-14,2022,8,14,port1201,Singapore,Singapore,SGP,31,47,102,841716,399492
2022-08-15,2022,8,15,port1201,Singapore,Singapore,SGP,35,51,142,802077,702059
2022-08-16,2022,8,16,port1201,Singapore,Singapore,SGP,35,47,114,670139,625704
2022-08-17,2022,8,17,port1201,Singapore,Singapore,SGP,35,52,117,554408,749944
2022-08-18,2022,8,18,port1201,Singapore,Singapore,SGP,46,58,129,900015,1424108
2022-08-19,2022,8,19,port1201,Singapore,Singapore,SGP,36,45,110,426132,519380
2022-08-20,2022,8,20,port1201,Singapore,Singapore,SGP,38,45,114,491516,687003
2022-08-21,2022,8,21,port1201,Singapore,Singapore,SGP,32,42,109,884454,512449
2022-08-22,2022,8,22,port1201,Singapore,Singapore,SGP,44,57,116,710205,594996
2022-08-23,2022,8,23,port1201,Singapore,Singapore,SGP,33,44,109,337392,823632
2022-08-24,2022,8,24,port1201,Singapore,Singapore,SGP,42,59,143,660845,452318
